HYBAS_ID,area,DIST_MAIN
1050619390,9014.5,1083.8
1050677890,16795.4,1202.0
1050677900,1528.9,1202.2
1050671560,5478.6,1261.9
1050671150,10833.7,1262.1
1050576090,10068.5,1357.8
1050575970,5181.1,1357.9
1050562730,8832.7,1408.4
1050562490,10882.6,1408.4
1050646230,7465.5,1427.6
1050646360,17856.3,1427.8
1050560730,15729.6,1445.2
1050560870,10612.9,1445.3
1050634970,5158.3,1540.3
1050634800,25516.4,1540.3
1050027420,124.3,0.0
1050027430,9.8,0.0
1050027440,33884.3,0.0
1050027450,47679.3,0.0
1050027630,21551.7,0.0
1050027640,34394.4,0.0
1050027830,39705.0,0.0
1050027840,1753.6,0.0
1050027920,27695.5,0.0
1050027930,118035.8,0.0
1050028700,1191.2,0.0
1050241300,36203.0,55.8
1050241480,283.6,55.8
1050246640,6311.1,82.1
1050246790,7182.7,82.3
1050289910,6448.2,274.5
1050289920,5550.7,274.7
1050274610,4613.9,413.6
1050274490,1947.5,413.7
1050028710,26682.9,0.0
1050028960,95886.5,0.0
1050028970,74061.5,0.0
1050029430,38046.5,0.0
1050029440,20099.4,0.0
1050029700,37812.3,0.0
1050029710,7415.2,0.0
1050029810,12941.5,0.0
1050030220,54237.1,0.0
1050030230,30252.5,0.0
1050030450,44493.0,0.0
1050030460,66780.9,0.0
1050031290,23171.1,0.0
1050031300,7103.4,0.0
1050031570,15261.5,0.0
1050031580,21684.8,0.0
1050031860,7404.8,0.0
1050032150,9281.1,0.0
1050032160,190.0,0.0
1050032170,16913.2,0.0
1050032180,17628.3,0.0
1050032600,7074.5,0.0
1050032610,3178.3,0.0
1050032670,5365.9,0.0
1050032680,85852.4,0.0
1050034170,16374.7,0.0
1050034260,178332.1,0.0
1050349490,186780.7,1333.8
1050349680,76027.3,1333.8
1050506690,60939.1,2154.5
1050506700,2489.3,2154.7
1050514520,125491.4,2199.8
1050514530,4671.7,2200.0
1050513570,36180.5,2269.0
1050513450,126176.7,2269.2
1050526810,1986.1,2846.3
1050526970,66467.7,2846.3
1050531400,7229.2,2880.0
1050531620,4787.8,2880.1
1050538430,73361.2,2919.3
1050538700,20388.9,2919.4
1050601200,23094.8,3186.9
1050601190,17753.2,3187.1
1050645140,36071.5,3346.6
1050645320,13957.8,3346.6
1050648450,30208.6,3392.4
1050648030,38225.7,3392.6
1050643620,756.5,3397.4
1050643630,41683.0,3397.6
1050664470,87475.5,3413.6
1050664460,34203.7,3413.8
1050657020,36624.4,3464.0
1050657010,67122.4,3464.2
1050798250,416.7,3884.5
1050798240,14999.2,3884.5
1050800150,13960.3,3900.0
1050800160,42106.1,3900.2
1050692800,7592.7,3902.0
1050692900,21317.0,3902.2
1050843040,98.8,4061.2
1050843030,36656.8,4061.4
1050845900,19312.6,4072.4
1050846100,19603.1,4072.6
1050819640,28207.7,4189.4
1050819440,47585.0,4189.6
1050837630,25595.2,4191.0
1050837890,90387.3,4191.2
1050848400,7817.3,4283.1
1050848180,43523.2,4283.1
1050856340,153964.0,4339.1
1050856140,419.9,4339.3
1050851850,7361.5,4373.5
1050852010,75140.7,4373.7
1050883500,20090.9,4395.7
1050883510,38731.5,4395.9
1050837870,148942.6,4479.6
1050837610,153055.7,4479.8
1050909250,17854.4,4491.7
1050909260,22806.4,4491.7
1050810820,15352.4,4643.9
1050810660,47770.5,4644.1
1050949070,39093.2,4651.1
1050949080,37285.5,4651.3
1051051360,22029.5,5065.8
1051051160,31604.9,5066.0
1051089880,39280.8,5329.2
1051089870,57037.1,5329.2
1051108020,43183.1,5644.9
1051108160,119412.9,5645.1
1051159450,63965.0,5945.4
1051159540,85724.3,5945.4
1050034270,20936.3,0.0
1050034490,3132.1,0.0
1050034610,8752.8,0.0
1050034900,3938.8,0.0
1050035090,2943.8,0.0
1050035180,26209.6,0.0
1050035400,32381.6,0.0
1050035410,18124.7,0.0
1050035590,54938.2,0.0
1050035600,21658.1,0.0
1050036020,48011.9,0.0
1050036030,79095.8,0.0
1050036860,56180.1,0.0
1050036870,10827.7,0.0
1050037100,28533.6,0.0
1050037110,86923.3,0.0
1050038850,12771.2,0.0
1050038860,21979.2,0.0
1050039250,17765.3,0.0
1050039260,32440.9,0.0
1050039740,16946.9,0.0
1050039750,30527.9,0.0
1050040030,41.7,0.0
1050040040,8.5,0.0
1050040050,2263.0,0.0
1050040110,279.5,0.0
1050040140,31.3,0.0
1050040160,40.4,0.0
1050040180,2.2,0.0
1050040190,31528.1,0.0
1050695540,89010.2,0.2
1050695700,5866.8,0.3
1050695300,17999.7,0.3
1051923540,182.2,160.6
1050672000,18273.7,164.8
1050671990,95.5,165.0
1050670570,29768.6,173.1
1050670330,58723.2,173.1
1050734180,88319.9,182.6
1050734190,48271.2,182.8
1050700730,67530.7,414.9
1050700890,9359.7,415.1
1050708880,24069.7,578.9
1050709340,23988.2,578.9
1050840230,13154.7,754.5
1050840410,2452.4,754.7
1050845830,83237.0,778.9
1050845840,292.5,779.0
1050852600,24253.7,806.1
1050852870,10904.9,806.1
1050865860,64647.3,882.1
1050865850,25320.3,882.3
1050786750,36377.8,1078.4
1050786760,4107.9,1078.6
1050847310,35402.5,1108.8
1050847160,75846.0,1109.0
1050749160,4602.6,1297.9
1050748790,8361.5,1297.9
1050736640,20760.4,1527.1
1050736730,35399.4,1527.2
1050652970,6057.6,1950.2
1050652800,16036.6,1950.4
1050040200,85787.3,0.0
1051533130,58303.2,161.7
1051533240,14469.2,161.8
1051548450,890.3,384.2
1051548460,60979.3,384.2
1051550490,1138.5,452.0
1051550590,9449.8,452.0
1051515680,53195.9,497.1
1051515780,14983.4,497.3
1051549840,7736.9,499.8
1051550000,3387.4,500.0
1051551920,25432.8,615.0
1051551850,13035.3,615.1
1051522340,12758.8,618.5
1051522260,9275.9,618.5
1051518250,26753.2,670.1
1051518160,841.7,670.3
1051513460,23294.0,711.7
1051513450,10658.6,711.8
1051520550,19428.4,806.7
1051520660,11712.1,806.9
1051479650,1273.7,1008.4
1051479540,58303.5,1008.5
1051478080,60249.3,1044.9
1051477980,17967.0,1045.1
1051474490,8512.8,1240.0
1051474590,11895.5,1240.0
1051460440,12178.2,1372.0
1051460430,7361.1,1372.2
1051435100,658.7,1550.6
1051435110,10896.7,1550.6
1051429650,16915.2,1593.8
1051429580,21259.1,1594.0
1050040210,8316.1,0.0
1050552200,186753.9,0.2
1050552040,2866.7,0.3
1050555410,38610.6,26.0
1050555020,88794.3,26.2
1050607030,47001.1,232.5
1050607020,11647.9,232.7
1050637070,30707.7,397.7
1050637060,38683.1,397.7
1050040220,16154.1,0.0
1050192080,199579.5,229.8
1050192070,22341.1,230.0
1050274920,542.9,756.6
1050275130,27196.4,756.7
1050276860,17918.5,797.2
1050276700,10134.3,797.4
1050335500,22767.4,1195.5
1050335490,13546.3,1195.5
1050040230,18250.7,0.0
1050463930,1281.9,123.8
1050463920,75802.4,123.9
1050454120,1116.7,185.8
1050453980,9602.1,186.0
1050440690,18504.6,248.3
1050440700,15327.5,248.4
1050407790,49499.7,417.4
1050407800,28360.4,417.4
1050040240,3834.9,0.0
1051494900,46346.6,0.2
1051494810,0.6,0.3
1051494710,616.9,0.9
1051494890,11615.3,0.9
1051491160,826.6,30.1
1051491120,74941.0,30.3
1051486420,15987.8,70.6
1051486320,20069.3,70.6
1050040250,170153.4,0.0
1050040260,52.4,0.0
1051060130,48215.9,0.2
1051059910,15673.2,0.3
1051033970,42572.1,111.3
1051033960,12183.7,111.5
1050927250,7884.9,874.5
1050927240,7047.7,874.7
1050890730,5171.9,1010.2
1050890470,10527.2,1010.2
1050040270,140783.7,0.0
1050040280,131166.8,0.0
1050040290,104484.9,0.0
1050040300,108825.6,0.0
1050040310,95083.7,0.0
1050040320,99445.3,0.0
1050040330,90160.3,0.0
1050040340,89137.9,0.0
1050040350,90003.1,0.0
1050040360,84583.1,0.0
1050040370,79610.5,0.0
1050040380,78588.5,0.0
1050040390,74557.8,0.0
1050040400,70156.8,0.0
1050040410,64663.9,0.0
