date,sro_sum,sp_mean,str_mean,tp_sum,ssro_sum,t2m_mean,streamflow
1990-02-26,0.0,61668.075847515065,-4.853794708388557e6,0.0,2.2916924880337275e-6,177.1587743494002,NaN
1990-02-27,2.2403416513990545e-6,61380.91012386823,-2.928798035519821e6,0.00031905233087665117,2.296240624948709e-6,177.8244117462223,NaN
1990-02-28,1.8302050559721522e-5,60936.56852229602,-3.373188809401916e6,0.0017069087749908634,2.3156397883198284e-6,178.15172341091036,NaN
1990-03-01,2.92045475875749e-5,61155.86628935239,-3.321900321021097e6,0.0030293661916469053,2.3166385496632915e-6,176.8185159529317,NaN
1990-03-02,1.0192905486020006e-8,61942.67804042688,-3.3122729069373347e6,4.0655916905884e-5,2.3217252644125486e-6,177.80930526832034,NaN
1990-03-03,-2.7755575615628914e-17,61797.86702849537,-3.7997413198269936e6,5.6889916634456766e-6,2.3305283004398025e-6,177.86255032961495,NaN
1990-03-04,-2.7755575615628914e-17,61484.081467346434,-3.6545414832341494e6,1.908207757385553e-6,2.3311089756394896e-6,179.1571640067949,NaN
1990-03-05,1.1019354536633232e-10,61417.88417638864,-4.0724540894838264e6,1.4166235261263854e-5,2.336149236372772e-6,178.22668149341803,NaN
1990-03-06,5.068904335852191e-9,61431.654153021824,-5.037635860729815e6,1.2245961773943615e-5,2.3394242444990064e-6,176.4353201220883,NaN
1990-03-07,1.101935453663324e-10,61730.58728268463,-5.536879174651928e6,1.3973937690452728e-5,2.3400049196986935e-6,177.8537895714042,NaN
1990-03-08,2.0181952914501895e-7,62171.13517122055,-5.533251931649859e6,3.780174335327353e-5,2.3401210547386307e-6,177.41841227642135,NaN
1990-03-09,-2.7755575615628914e-17,62062.4376190358,-6.234764646853828e6,1.8852703020440176e-10,2.34290829569713e-6,176.49052964307702,NaN
1990-03-10,2.3056903239747523e-6,61402.7971640934,-4.945021208157065e6,0.0004222072267774073,2.343210246800967e-6,179.38310460542598,NaN
1990-03-11,2.085727423005354e-5,61427.89115835628,-3.4496334339870615e6,0.003188592790713145,2.3439767380645537e-6,178.6193781987269,NaN
1990-03-12,1.6522975321461055e-6,61642.80635090036,-4.1595064974604594e6,0.0003341458110726365,2.3451613154719142e-6,178.5427936613836,NaN
1990-03-13,2.3918066013629907e-6,61487.09894527043,-4.562286342185989e6,0.0004845314350574461,2.352547504011932e-6,179.4098115830088,NaN
1990-03-14,-2.7755575615628914e-17,61921.03795439266,-5.198097128777238e6,8.169504642190741e-10,2.3665998438443554e-6,179.038068642115,NaN
1990-03-15,-2.7755575615628914e-17,62029.29314779933,-5.663889248053274e6,1.1048752289813211e-5,2.3554741070183543e-6,177.87998543362383,NaN
1990-03-16,-2.7755575615628914e-17,62174.12068527094,-6.788226569205648e6,0.0,2.3600033735759126e-6,175.649566126484,NaN
1990-03-17,-2.7755575615628914e-17,62001.152436150616,-6.8027553568233345e6,0.0,2.35487020481068e-6,175.06339527539478,NaN
1990-03-18,-2.7755575615628914e-17,61700.77348800806,-6.1649047209452335e6,0.0,2.3549863398506176e-6,177.58308032691542,NaN
1990-03-19,-2.7755575615628914e-17,61761.38341967374,-6.168787636909175e6,0.0,2.3572161326174147e-6,179.19948699397878,NaN
1990-03-20,-2.7755575615628914e-17,61862.14890447276,-6.3923877980641285e6,0.0,2.3572161326174147e-6,178.4902538862682,NaN
1990-03-21,-2.7755575615628914e-17,61571.734677938395,-6.715923401927878e6,0.0,2.3577271267931395e-6,178.59776361133007,NaN
1990-03-22,-2.7755575615628914e-17,61393.85861201372,-6.36279420477657e6,1.7470171465607905e-8,2.3577271267931395e-6,179.42864107847487,NaN
1990-03-23,1.7283861941389635e-7,61399.26359559882,-5.82866490089757e6,0.00010036726623198663,2.3577271267931395e-6,180.0112199751599,NaN
1990-03-24,1.2951050648740265e-6,61604.25566177951,-5.046520682700992e6,0.00030561161662779967,2.3577735808091147e-6,179.82066127126924,NaN
1990-03-25,1.1019357034635042e-9,61657.736370564606,-4.942388319719868e6,1.7601511963306177e-5,2.3579826238810014e-6,179.65104475605,NaN
1990-03-26,4.274408701120856e-7,61587.086482595,-5.303278196335909e6,8.878102337907192e-5,2.3463923468952512e-6,180.2110540721991,NaN
1990-03-27,3.463934970809623e-7,61574.11507838467,-5.206184320616286e6,8.691366314489727e-5,2.3463923468952512e-6,180.17651776667884,NaN
1990-03-28,2.6639296299404885e-7,61496.199164969315,-5.5489199195124125e6,5.9024356828044484e-5,2.3373570407881225e-6,180.29883484479993,NaN
1990-03-29,3.927298945783235e-7,61462.83913903899,-5.94145242308861e6,8.807882303390189e-5,2.3372409057481854e-6,180.5018882441433,NaN
1990-03-30,1.085406692475206e-8,61377.70955237278,-6.28947206898255e6,9.490199331107258e-6,2.3372409057481854e-6,179.91250374720883,NaN
1990-03-31,5.396683878435644e-6,60949.33726076878,-4.811850639522793e6,0.0008651249492412703,2.3169673762598467e-6,180.50114891266503,NaN
1990-04-01,3.590020485778041e-5,60548.34939893279,-3.2040864394578175e6,0.005445850313969685,2.3169673762598467e-6,178.25624334025167,NaN
1990-04-02,1.945975809642421e-5,61236.42699263235,-3.297429334377226e6,0.0028108537840453433,2.3049375563396526e-6,177.42854069180694,NaN
1990-04-03,9.213652367176092e-6,61582.45195805256,-4.315150490198048e6,0.001392929683293035,2.3049375563396526e-6,177.51121521860023,NaN
1990-04-04,3.1528229045519e-7,61636.05639792126,-4.9346578270703545e6,4.1497462757486396e-5,2.3049375563396526e-6,177.73054202201837,NaN
1990-04-05,4.66342642298434e-7,61368.533061209295,-5.705932733818148e6,8.379106269191879e-5,2.3049375563396526e-6,178.33781916850828,NaN
1990-04-06,7.725255641233706e-7,61407.21426159745,-4.851043240571922e6,0.00021606197755298027,2.3048172581404513e-6,179.2214814071833,NaN
1990-04-07,1.65153540638341e-6,61514.10984978752,-4.941632138531732e6,0.00032468081620853136,2.3048172581404513e-6,179.4269938830876,NaN
1990-04-08,1.6730922439719662e-7,61213.76613361647,-5.085592181809847e6,0.0001410928888280363,2.3048172581404513e-6,182.1423322937596,NaN
1990-04-09,1.6865246452832245e-6,61115.33523196265,-5.2588432258517165e6,0.0003555839249363606,2.2928114978601713e-6,180.9896690211074,NaN
1990-04-10,8.88271699616065e-9,61060.02561534703,-5.635284629145169e6,3.972333409568652e-5,2.29269119966097e-6,183.02441750280263,NaN
1990-04-11,1.2775946860087643e-6,60876.50555583784,-4.686782989712631e6,0.00030266035783696,2.29269119966097e-6,183.60392187478377,NaN
1990-04-12,1.6790501639084145e-9,61161.05128313579,-5.925908090832364e6,6.9358766751932575e-6,2.29269119966097e-6,181.4816543063542,NaN
1990-04-13,1.5165614383688906e-9,61291.80201286384,-5.939332929512831e6,1.980457528674065e-5,2.29269119966097e-6,180.1749035802536,NaN
1990-04-14,1.1153767750118003e-6,61201.83475232745,-5.240564318056279e6,0.00019612975453085988,2.2919694104657627e-6,180.8724201135715,NaN
1990-04-15,2.77991127943869e-6,61170.269846402414,-4.466008890377805e6,0.0005407313695806404,2.2899724603590227e-6,180.4800947781167,NaN
1990-04-16,1.586864893618992e-6,61393.61317974988,-4.942038950363668e6,0.0003895713876426544,2.2755366764548797e-6,179.8732283805271,NaN
1990-04-17,2.076118446218499e-6,61465.54609066012,-5.3488932147965925e6,0.0004108443198926814,2.2755366764548797e-6,180.193471887215,NaN
1990-04-18,3.308703755252814e-6,61485.096940622396,-5.018511628865229e6,0.0006846771561510015,2.2707247484868027e-6,180.5937287984225,NaN
1990-04-19,0.0,61320.04180093551,-6.649768624319598e6,0.0,2.2706525695672824e-6,183.14985793510954,NaN
1990-04-20,3.101368141464383e-7,61305.74400015668,-5.74440768208843e6,0.00016158955964439483,2.2652150909633884e-6,181.65550116554496,NaN
1990-04-21,0.0,61421.0671346852,-5.883409491441733e6,1.536738845984813e-5,2.2649263752853054e-6,180.44548239810226,NaN
1990-04-22,0.0,61527.427295335394,-6.971859003253484e6,1.025844813968518e-7,2.2528484360854307e-6,182.15392883580796,NaN
1990-04-23,0.0,61546.13219749757,-7.19735624803362e6,0.0,2.2517416926527795e-6,183.66167766687875,NaN
1990-04-24,0.0,61525.63435291161,-7.2854426712930165e6,0.0,2.251549215534058e-6,184.8703660407931,NaN
1990-04-25,0.0,61410.710500251655,-7.128657495985413e6,1.6903124775658483e-8,2.2427433873525305e-6,185.62953963673044,NaN
1990-04-26,0.0,61212.27794618577,-6.742690664287625e6,7.460689556162758e-9,2.2417328824792408e-6,186.25621871566418,NaN
1990-04-27,0.0,60825.25224389188,-5.9974893475880595e6,9.271072506270937e-6,2.2300158378770446e-6,187.45264994204578,NaN
1990-04-28,3.0272191197098433e-6,60911.131002102215,-4.965102579755177e6,0.0006474487815588369,2.2300158378770446e-6,182.69523262623355,NaN
1990-04-29,1.0578016032623018e-7,61260.14623593549,-6.785901025925393e6,3.465857504652113e-5,2.2298233607583226e-6,181.38402498304484,NaN
1990-04-30,1.1682241615621687e-7,61127.28985753996,-6.435853832843881e6,3.429684125397883e-5,2.2562177604640548e-6,182.39188424592567,NaN
1990-05-01,3.6010430917114785e-6,61136.17434949691,-5.405567055691967e6,0.0007935109402494668,2.253389179306318e-6,180.6662610735741,NaN
1990-05-02,5.964147114656822e-7,61381.93613353424,-6.654055508412141e6,0.00015619070933618745,2.252484033335846e-6,179.62194435240968,NaN
1990-05-03,0.0,61309.648127056425,-6.930252996671321e6,5.7432439288603434e-8,2.252484033335846e-6,180.62545615440226,NaN
1990-05-04,0.0,61209.2947712516,-6.756944194653785e6,6.477445960378207e-8,2.252399175901114e-6,180.63487141432287,NaN
1990-05-05,1.0685938831560372e-6,61375.913113377246,-5.985260466164619e6,0.00028149779346084056,2.2380865552429674e-6,179.5725639068824,NaN
1990-05-06,0.0,61471.69494094305,-6.395315549273371e6,1.3852265207516887e-5,2.2182864871388408e-6,180.10196031520522,NaN
1990-05-07,0.0,61385.69075548084,-7.296054491362763e6,2.0585103687678986e-10,2.2048507266395912e-6,182.0728574063579,NaN
1990-05-08,0.0,61153.218558672095,-6.982178678371919e6,0.0,2.2034364360607297e-6,183.98688797037863,NaN
1990-05-09,1.0045045378405071e-6,60912.60449311016,-6.870381322525808e6,0.00025232067334501847,2.2034364360607297e-6,184.5558463042382,NaN
1990-05-10,5.166736859995225e-6,60880.01684236857,-5.6268773183642e6,0.0010150957894274313,2.1891803870257374e-6,182.193882404638,NaN
1990-05-11,4.3202738086414e-6,61018.516430262665,-4.394947856363977e6,0.0008473526512847334,2.1889541005331184e-6,182.3683219291331,NaN
